"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tmbim61",1.22830988262829e-53,0.443454332148157,0.805,0.663,2.34226411518388e-49,"0","Tmbim6"
"Vgll41",2.21301156444653e-53,1.27891574650608,0.305,0.208,4.21999175224309e-49,"0","Vgll4"
"Srpra1",5.22444354357726e-53,0.519490831204179,0.676,0.54,9.96249139324748e-49,"0","Srpra"
"Akap131",1.1457168621245e-52,1.12782291105038,0.359,0.264,2.1847674843852e-48,"0","Akap13"
"Trip111",2.62148645489259e-52,1.17258407456339,0.339,0.244,4.99891252083468e-48,"0","Trip11"
"Ncoa1",1.63581671553874e-51,1.33671801988738,0.258,0.163,3.11933889486083e-47,"0","Ncoa1"
"Sidt1",3.65119257495978e-50,1.35524047408631,0.252,0.159,6.96245912119081e-46,"0","Sidt1"
"Trim33",8.00342978031802e-50,1.36757253635507,0.253,0.161,1.52617402480884e-45,"0","Trim33"
"Sec61a11",1.44985848379227e-49,0.964638440919296,0.402,0.313,2.76473514274348e-45,"0","Sec61a1"
"Shroom31",1.63331485246346e-49,1.13129248027358,0.351,0.259,3.11456809216258e-45,"0","Shroom3"
"Stag11",1.78012111346381e-48,1.27811551710902,0.259,0.166,3.39451295126414e-44,"0","Stag1"
